album,song,word_count,tb_polarity,tb_subjectivity,tb_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment
THETORTUREDPOETSDEPARTMENT_TheAlbatrossEdition_,Clarabow,275,0.2326479076479077,0.6137536075036076,positive,-0.2018,0.171,0.154,0.675,negative
THETORTUREDPOETSDEPARTMENT_TheAlbatrossEdition_,Loml,385,0.2731481481481481,0.5287037037037038,positive,-0.9764,0.095,0.134,0.771,negative
THETORTUREDPOETSDEPARTMENT_TheAlbatrossEdition_,Downbad,503,-0.2533333333333332,0.44821428571428595,negative,-0.9989,0.058,0.241,0.702,negative
THETORTUREDPOETSDEPARTMENT_TheAlbatrossEdition_,Butdaddyilovehim,601,0.15790143964562564,0.4455869324473975,positive,0.993,0.152,0.091,0.757,positive
Lover_LivefromParis_,Lover Livefromparis,279,0.25515151515151513,0.5544444444444445,positive,0.9952,0.198,0.04,0.762,positive
Lover_LivefromParis_,Thearcher Livefromparis,326,0.19187479187479184,0.5231684981684984,positive,0.9188,0.151,0.137,0.712,positive
Lover_LivefromParis_,Corneliastreet Livefromparis,395,-0.06473526473526474,0.45566100566100565,neutral,-0.3624,0.096,0.088,0.816,negative
Lover_LivefromParis_,Theman Livefromparis,376,-0.11397402597402596,0.6450476190476189,negative,-0.9622,0.099,0.119,0.783,negative
Lover_LivefromParis_,Deathbyathousandcuts Livefromparis,412,0.11022727272727274,0.5732142857142856,positive,0.9935,0.195,0.124,0.682,positive
Lover_LivefromParis_,Me Livefromparis,476,0.21407624633431083,0.6193548387096773,positive,0.998,0.214,0.081,0.705,positive
Lover_LivefromParis_,Youneedtocalmdown Livefromparis,386,0.017936945209672484,0.518771043771044,neutral,0.9924,0.186,0.084,0.73,positive
Lover_LivefromParis_,Lover Officialmusicvideo,285,0.27,0.56125,positive,0.9952,0.194,0.039,0.766,positive
Lover_LivefromParis_,Daylight Livefromparis,414,0.04418622313359156,0.5813435102908787,neutral,0.9865,0.103,0.032,0.866,positive
Midnights_TheTilDawnEdition_,Snowonthebeach,490,-0.12693236714975853,0.4954106280193233,negative,0.9988,0.256,0.071,0.673,positive
Midnights_TheTilDawnEdition_,Karma Remix,533,0.05085978835978835,0.5626322751322752,neutral,0.9976,0.223,0.102,0.674,positive
Midnights_TheTilDawnEdition_,Hitsdifferent,488,0.10977633477633476,0.622691197691198,positive,0.9779,0.148,0.107,0.745,positive
Midnights_TheTilDawnEdition_,Maroon,372,-0.3181818181818182,0.667965367965368,negative,-0.9544,0.027,0.081,0.892,negative
Midnights_TheTilDawnEdition_,Labyrinth,270,0.21037851037851038,0.497893772893773,positive,0.9962,0.221,0.05,0.729,positive
Midnights_TheTilDawnEdition_,Anti Hero,361,0.037681159420289864,0.4072463768115942,neutral,-0.9901,0.106,0.184,0.71,negative
Midnights_TheTilDawnEdition_,Lavenderhaze,328,0.14602272727272728,0.7221590909090909,positive,-0.8263,0.107,0.117,0.776,negative
Midnights_TheTilDawnEdition_,Karma,408,-0.003263888888888894,0.547638888888889,neutral,0.9939,0.195,0.107,0.698,positive
Midnights_TheTilDawnEdition_,Biggerthanthewholesky,274,0.0925974025974026,0.4292857142857144,neutral,-0.9122,0.006,0.054,0.939,negative
Midnights_TheTilDawnEdition_,Midnightrain,305,0.3695652173913043,0.6347826086956523,positive,0.9971,0.248,0.077,0.674,positive
Midnights_TheTilDawnEdition_,Bejeweled,450,0.4716935483870967,0.5733333333333335,positive,0.9947,0.155,0.05,0.795,positive
